orthogroup	EXP
1733at7399	0
1734at7399	1
1747at7399	1
1751at7399	3
1753at7399	3
1754at7399	0
1756at7399	5
1757at7399	0
1763at7399	1
1767at7399	4
1768at7399	1
1783at7399	0
1786at7399	2
1789at7399	3
1794at7399	2
1796at7399	4
1798at7399	0
1799at7399	2
1802at7399	1
1803at7399	1
1806at7399	1
1808at7399	0
1810at7399	3
1811at7399	2
1812at7399	0
1819at7399	2
1824at7399	0
1825at7399	2
1827at7399	1
1828at7399	0
1831at7399	2
1833at7399	0
1834at7399	0
1835at7399	0
1836at7399	0
1839at7399	0
1841at7399	0
1842at7399	0
1846at7399	1
1849at7399	1
1854at7399	2
1861at7399	0
1862at7399	2
1865at7399	0
1867at7399	1
1868at7399	0
1880at7399	0
1883at7399	0
1886at7399	0
1889at7399	3
1891at7399	1
1893at7399	2
1894at7399	3
1895at7399	0
1898at7399	3
1899at7399	1
1901at7399	1
1903at7399	0
1911at7399	0
1913at7399	2
1917at7399	2
1921at7399	0
1923at7399	0
1926at7399	0
1930at7399	0
1931at7399	2
1934at7399	1
1939at7399	2
1941at7399	0
1942at7399	0
1944at7399	0
1948at7399	0
1949at7399	1
1957at7399	1
1959at7399	1
1962at7399	1
1964at7399	2
1966at7399	2
1969at7399	1
1971at7399	1
1978at7399	0
1980at7399	2
1989at7399	4
1995at7399	0
1997at7399	4
1999at7399	0
2007at7399	1
2010at7399	0
2011at7399	1
2016at7399	1
2021at7399	0
2023at7399	1
2024at7399	2
2036at7399	0
2038at7399	1
2039at7399	0
2040at7399	4
2055at7399	0
2060at7399	0
2064at7399	1
2067at7399	0
2071at7399	5
2079at7399	1
2082at7399	1
2083at7399	6
2088at7399	0
2094at7399	2
2095at7399	1
2096at7399	0
2097at7399	1
2098at7399	0
2099at7399	1
2102at7399	0
2108at7399	1
2111at7399	0
2113at7399	1
2119at7399	1
2123at7399	1
2125at7399	0
2127at7399	4
2132at7399	0
2135at7399	4
2142at7399	0
2157at7399	1
2162at7399	0
2164at7399	1
2165at7399	2
2171at7399	3
2173at7399	0
2175at7399	2
2176at7399	2
2185at7399	2
2195at7399	2
2197at7399	0
2198at7399	0
2200at7399	0
2203at7399	2
2204at7399	0
2205at7399	0
2221at7399	2
2225at7399	6
2226at7399	0
2227at7399	4
2229at7399	0
2231at7399	2
2232at7399	4
2233at7399	4
2236at7399	0
2238at7399	3
2241at7399	1
2248at7399	0
2250at7399	0
2252at7399	0
2256at7399	1
2257at7399	0
2259at7399	1
2261at7399	4
2262at7399	0
2263at7399	1
2264at7399	2
2267at7399	2
2269at7399	0
2274at7399	0
2275at7399	2
2276at7399	0
2277at7399	0
2282at7399	1
2283at7399	1
2286at7399	0
2290at7399	3
2293at7399	4
2294at7399	0
2296at7399	1
2297at7399	0
2298at7399	0
2299at7399	0
2306at7399	0
2314at7399	1
2324at7399	0
2327at7399	2
2328at7399	0
2336at7399	2
2341at7399	3
2345at7399	1
2346at7399	0
2350at7399	0
2353at7399	4
2363at7399	2
2367at7399	3
2370at7399	0
2372at7399	4
2373at7399	1
2374at7399	1
2377at7399	1
2385at7399	1
2386at7399	1
2387at7399	0
2388at7399	0
2392at7399	6
2393at7399	0
2397at7399	1
2406at7399	3
2408at7399	0
2409at7399	1
2410at7399	1
2412at7399	1
2414at7399	0
2419at7399	3
2423at7399	1
2424at7399	1
2427at7399	0
2428at7399	0
2430at7399	2
2435at7399	3
2436at7399	0
2437at7399	4
2441at7399	1
2444at7399	0
2453at7399	0
2458at7399	1
2460at7399	0
2461at7399	0
2463at7399	0
2468at7399	1
2474at7399	0
2476at7399	1
2477at7399	0
2480at7399	1
2482at7399	2
2484at7399	0
2489at7399	0
2491at7399	3
2497at7399	0
2499at7399	0
2500at7399	1
2504at7399	0
2511at7399	1
2513at7399	0
2517at7399	3
2518at7399	0
2525at7399	1
2526at7399	2
2527at7399	0
2530at7399	3
2535at7399	1
2536at7399	0
2540at7399	1
2543at7399	2
2548at7399	2
2549at7399	0
2553at7399	0
2554at7399	1
2555at7399	0
2556at7399	0
2560at7399	0
2561at7399	4
2562at7399	0
2564at7399	8
2569at7399	1
2570at7399	0
2571at7399	0
2572at7399	4
2573at7399	0
2574at7399	1
2578at7399	3
2582at7399	0
2583at7399	2
2587at7399	0
2588at7399	0
2590at7399	2
2592at7399	1
2593at7399	0
2601at7399	1
2605at7399	3
2607at7399	0
2609at7399	1
2614at7399	2
2617at7399	6
2619at7399	2
2623at7399	1
2624at7399	0
2625at7399	1
2626at7399	1
2629at7399	0
2630at7399	0
2634at7399	4
2638at7399	0
2641at7399	0
2645at7399	0
2646at7399	1
2649at7399	1
2651at7399	3
2653at7399	2
2655at7399	1
2656at7399	6
2659at7399	0
2660at7399	2
2663at7399	1
2668at7399	0
2671at7399	2
2672at7399	3
2674at7399	1
2675at7399	3
2676at7399	1
2677at7399	1
2678at7399	0
2681at7399	2
2682at7399	2
2683at7399	0
2684at7399	0
2687at7399	3
2690at7399	2
2693at7399	0
2694at7399	0
2702at7399	0
2707at7399	2
2713at7399	2
2715at7399	3
2717at7399	0
2719at7399	0
2720at7399	1
2723at7399	3
2727at7399	1
2732at7399	0
2734at7399	6
2740at7399	1
2741at7399	2
2746at7399	1
2748at7399	0
2753at7399	3
2767at7399	1
2770at7399	5
2775at7399	0
2778at7399	1
2779at7399	4
2780at7399	3
2785at7399	1
2789at7399	1
2790at7399	1
2791at7399	1
2796at7399	0
2801at7399	1
2802at7399	1
2809at7399	1
2810at7399	0
2819at7399	1
2821at7399	0
2826at7399	2
2827at7399	0
2829at7399	0
2830at7399	3
2836at7399	0
2845at7399	0
2848at7399	0
2851at7399	0
2853at7399	5
2858at7399	0
2870at7399	1
2873at7399	0
2874at7399	4
2876at7399	1
2885at7399	0
2886at7399	1
2890at7399	0
2891at7399	0
2892at7399	1
2893at7399	0
2895at7399	1
2897at7399	4
2900at7399	1
2908at7399	1
2914at7399	7
2916at7399	0
2920at7399	2
2922at7399	2
2925at7399	5
2927at7399	4
2932at7399	1
2936at7399	0
2940at7399	0
2941at7399	0
2943at7399	0
2948at7399	0
2949at7399	0
2957at7399	0
2970at7399	0
2972at7399	0
2975at7399	0
2976at7399	2
2978at7399	4
2980at7399	2
2983at7399	0
2984at7399	3
2986at7399	3
2987at7399	2
2988at7399	0
2995at7399	1
2996at7399	1
3005at7399	0
3010at7399	2
3022at7399	2
3028at7399	0
3032at7399	1
3034at7399	1
3041at7399	0
3042at7399	0
3043at7399	1
3047at7399	0
3051at7399	3
3053at7399	0
3065at7399	0
3070at7399	0
3071at7399	0
3073at7399	1
3074at7399	2
3083at7399	6
3085at7399	0
3086at7399	2
3088at7399	5
3089at7399	1
3090at7399	2
3091at7399	2
3094at7399	7
3098at7399	1
3104at7399	0
3110at7399	0
3111at7399	5
3121at7399	1
3122at7399	1
3123at7399	0
3124at7399	1
3127at7399	0
3128at7399	0
3130at7399	0
3132at7399	1
3133at7399	1
3134at7399	1
3144at7399	2
3149at7399	1
3150at7399	5
3152at7399	0
3155at7399	4
3157at7399	0
3158at7399	0
3163at7399	2
3165at7399	1
3166at7399	1
3167at7399	0
3170at7399	0
3171at7399	1
3172at7399	3
3174at7399	0
3177at7399	1
3179at7399	0
3184at7399	3
3185at7399	3
3186at7399	0
3187at7399	0
3202at7399	1
3212at7399	0
3216at7399	4
3219at7399	4
3223at7399	2
3225at7399	1
3228at7399	6
3233at7399	0
3237at7399	0
3242at7399	0
3243at7399	0
3244at7399	2
3257at7399	1
3258at7399	2
3272at7399	0
3274at7399	0
3277at7399	0
3280at7399	2
3281at7399	1
3284at7399	2
3286at7399	2
3290at7399	0
3302at7399	0
3303at7399	1
3304at7399	0
3305at7399	1
3306at7399	0
3311at7399	3
3321at7399	0
3324at7399	1
3326at7399	0
3332at7399	0
3337at7399	0
3338at7399	0
3345at7399	2
3349at7399	0
3353at7399	1
3354at7399	0
3356at7399	0
3359at7399	0
3360at7399	0
3362at7399	2
3365at7399	1
3375at7399	1
3377at7399	0
3384at7399	3
3385at7399	1
3390at7399	0
3399at7399	0
3402at7399	1
3404at7399	3
3410at7399	1
3411at7399	0
3414at7399	0
3415at7399	0
3421at7399	7
3422at7399	1
3423at7399	2
3429at7399	0
3430at7399	5
3437at7399	2
3441at7399	1
3449at7399	0
3452at7399	1
3453at7399	0
3455at7399	2
3461at7399	1
3467at7399	2
3468at7399	0
3469at7399	4
3471at7399	1
3473at7399	1
3484at7399	0
3486at7399	1
3488at7399	0
3503at7399	4
3504at7399	0
3507at7399	0
3509at7399	0
3516at7399	0
3519at7399	0
3522at7399	0
3523at7399	0
3529at7399	2
3531at7399	0
3537at7399	3
3538at7399	1
3546at7399	0
3547at7399	1
3549at7399	3
3551at7399	2
3553at7399	0
3562at7399	0
3564at7399	0
3567at7399	0
3572at7399	0
3575at7399	0
3578at7399	3
3579at7399	0
3582at7399	1
3586at7399	1
3592at7399	1
3597at7399	0
3602at7399	1
3606at7399	1
3612at7399	3
3614at7399	0
3616at7399	0
3617at7399	0
3618at7399	0
3624at7399	3
3627at7399	0
3630at7399	1
3631at7399	0
3633at7399	1
3635at7399	4
3643at7399	3
3644at7399	1
3645at7399	2
3646at7399	0
3648at7399	3
3651at7399	0
3654at7399	0
3656at7399	0
3660at7399	0
3668at7399	0
3669at7399	0
3670at7399	0
3674at7399	0
3677at7399	1
3678at7399	1
3679at7399	0
3681at7399	0
3682at7399	1
3687at7399	0
3692at7399	2
3698at7399	1
3707at7399	3
3712at7399	1
3713at7399	1
3718at7399	6
3720at7399	0
3721at7399	1
3727at7399	3
3729at7399	1
3733at7399	1
3735at7399	3
3736at7399	0
3739at7399	2
3742at7399	1
3743at7399	1
3746at7399	2
3750at7399	0
3754at7399	1
3756at7399	2
3763at7399	1
3767at7399	1
3768at7399	0
3773at7399	0
3776at7399	1
3777at7399	1
3780at7399	1
3793at7399	1
3794at7399	0
3798at7399	1
3803at7399	0
3804at7399	0
3807at7399	1
3810at7399	2
3817at7399	1
3819at7399	1
3829at7399	0
3831at7399	2
3832at7399	0
3838at7399	0
3839at7399	0
3843at7399	1
3845at7399	0
3848at7399	1
3853at7399	3
3858at7399	2
3859at7399	3
3860at7399	5
3862at7399	9
3867at7399	0
3873at7399	2
3874at7399	2
3877at7399	6
3879at7399	1
3883at7399	0
3887at7399	1
3894at7399	2
3899at7399	2
3900at7399	4
3903at7399	0
3904at7399	1
3906at7399	0
3908at7399	0
3914at7399	2
3921at7399	1
3928at7399	0
3930at7399	2
3938at7399	9
3945at7399	0
3949at7399	0
3952at7399	1
3955at7399	1
3957at7399	0
3960at7399	0
3966at7399	1
3972at7399	2
3973at7399	4
3974at7399	0
3978at7399	1
3984at7399	1
3985at7399	6
3990at7399	0
3995at7399	1
3999at7399	0
4002at7399	2
4007at7399	0
4008at7399	1
4011at7399	3
4012at7399	0
4014at7399	0
4017at7399	2
4022at7399	2
4024at7399	1
4025at7399	1
4026at7399	1
4028at7399	1
4039at7399	2
4044at7399	0
4048at7399	1
4052at7399	0
4056at7399	0
4060at7399	2
4066at7399	1
4068at7399	1
4069at7399	0
4070at7399	1
4075at7399	0
4076at7399	2
4079at7399	1
4080at7399	0
4082at7399	1
4083at7399	1
4087at7399	0
4089at7399	0
4091at7399	1
4094at7399	0
4095at7399	0
4098at7399	2
4099at7399	4
4102at7399	2
4104at7399	0
4105at7399	1
4109at7399	0
4110at7399	8
4111at7399	0
4114at7399	0
4116at7399	0
4117at7399	0
4118at7399	0
4120at7399	0
4121at7399	2
4122at7399	0
4132at7399	0
4135at7399	1
4143at7399	0
4144at7399	4
4145at7399	6
4147at7399	1
4149at7399	1
4150at7399	1
4155at7399	0
4160at7399	2
4171at7399	1
4176at7399	0
4178at7399	1
4179at7399	0
4185at7399	0
4186at7399	7
4192at7399	1
4193at7399	3
4198at7399	0
4199at7399	1
4202at7399	4
4204at7399	0
4209at7399	0
4210at7399	0
4217at7399	3
4218at7399	1
4223at7399	1
4226at7399	0
4228at7399	0
4231at7399	1
4233at7399	3
4234at7399	7
4236at7399	0
4238at7399	1
4239at7399	1
4241at7399	0
4245at7399	2
4248at7399	2
4249at7399	2
4250at7399	5
4258at7399	3
4265at7399	1
4267at7399	1
4268at7399	0
4269at7399	2
4272at7399	0
4278at7399	0
4279at7399	0
4284at7399	0
4291at7399	1
4296at7399	2
4297at7399	0
4298at7399	2
4299at7399	3
4302at7399	0
4306at7399	0
4307at7399	2
4318at7399	1
4320at7399	0
4322at7399	2
4323at7399	2
4324at7399	0
4325at7399	2
4327at7399	0
4329at7399	3
4331at7399	1
4334at7399	1
4336at7399	0
4340at7399	1
4341at7399	0
4345at7399	0
4347at7399	0
4353at7399	0
4359at7399	7
4368at7399	3
4376at7399	2
4378at7399	1
4382at7399	0
4383at7399	0
4388at7399	0
4391at7399	0
4392at7399	0
4393at7399	0
4398at7399	1
4407at7399	0
4408at7399	0
4412at7399	2
4415at7399	0
4416at7399	2
4417at7399	1
4422at7399	0
4423at7399	0
4426at7399	0
4428at7399	2
4432at7399	1
4436at7399	0
4437at7399	1
4441at7399	0
4443at7399	1
4448at7399	0
4450at7399	3
4451at7399	2
4455at7399	0
4456at7399	40
4459at7399	7
4468at7399	2
4473at7399	2
4479at7399	0
4484at7399	1
4487at7399	0
4490at7399	0
4494at7399	0
4512at7399	1
4516at7399	0
4529at7399	3
4532at7399	1
4533at7399	0
4536at7399	0
4539at7399	2
4540at7399	1
4542at7399	0
4545at7399	2
4547at7399	0
4548at7399	1
4553at7399	1
4554at7399	1
4555at7399	2
4557at7399	0
4563at7399	1
4565at7399	0
4568at7399	1
4577at7399	0
4579at7399	1
4581at7399	0
4582at7399	1
4588at7399	1
4591at7399	0
4593at7399	2
4595at7399	0
4601at7399	0
4603at7399	2
4606at7399	1
4608at7399	0
4621at7399	0
4624at7399	1
4631at7399	2
4634at7399	2
4641at7399	1
4643at7399	3
4646at7399	0
4648at7399	1
4650at7399	0
4652at7399	0
4653at7399	0
4657at7399	0
4658at7399	5
4659at7399	2
4662at7399	1
4665at7399	0
4669at7399	0
4678at7399	0
4681at7399	0
4687at7399	3
4689at7399	2
4694at7399	0
4695at7399	0
4699at7399	1
4708at7399	0
4714at7399	0
4717at7399	1
4718at7399	0
4727at7399	2
4734at7399	1
4736at7399	0
4739at7399	0
4743at7399	4
4747at7399	0
4758at7399	1
4760at7399	0
4761at7399	0
4767at7399	4
4768at7399	1
4773at7399	0
4774at7399	0
4775at7399	0
4776at7399	2
4785at7399	0
4792at7399	0
4800at7399	0
4803at7399	0
4804at7399	1
4806at7399	2
4808at7399	1
4809at7399	2
4811at7399	0
4813at7399	0
4814at7399	4
4819at7399	2
4822at7399	0
4824at7399	2
4827at7399	0
4831at7399	1
4833at7399	1
4835at7399	0
4838at7399	0
4839at7399	2
4847at7399	0
4848at7399	2
4854at7399	0
4857at7399	1
4858at7399	3
4864at7399	0
4865at7399	2
4866at7399	6
4867at7399	1
4868at7399	0
4872at7399	0
4873at7399	0
4875at7399	0
4889at7399	1
4890at7399	1
4899at7399	0
4900at7399	1
4903at7399	1
4907at7399	1
4911at7399	0
4912at7399	0
4915at7399	2
4916at7399	1
4917at7399	1
4921at7399	2
4936at7399	1
4938at7399	3
4940at7399	0
4943at7399	0
4949at7399	0
4950at7399	0
4952at7399	3
4953at7399	0
4955at7399	1
4957at7399	0
4959at7399	1
4960at7399	0
4962at7399	0
4968at7399	0
4969at7399	0
4975at7399	0
4976at7399	1
4977at7399	0
4984at7399	0
4985at7399	4
4988at7399	1
4991at7399	0
4994at7399	3
4995at7399	1
4997at7399	0
5000at7399	0
5005at7399	2
5008at7399	0
5009at7399	1
5013at7399	1
5016at7399	2
5019at7399	0
5023at7399	0
5026at7399	1
5028at7399	0
5030at7399	1
5034at7399	1
5037at7399	1
5048at7399	1
5052at7399	0
5054at7399	2
5057at7399	0
5059at7399	3
5060at7399	3
5062at7399	1
5066at7399	0
5071at7399	0
5075at7399	1
5077at7399	0
5086at7399	0
5090at7399	0
5092at7399	0
5094at7399	1
5096at7399	0
5101at7399	0
5109at7399	1
5111at7399	7
5113at7399	8
5119at7399	4
5122at7399	1
5123at7399	2
5125at7399	1
5130at7399	0
5145at7399	0
5146at7399	0
5148at7399	2
5161at7399	2
5165at7399	3
5169at7399	0
5172at7399	0
5174at7399	0
5175at7399	1
5179at7399	1
5182at7399	0
5188at7399	4
5189at7399	0
5190at7399	0
5191at7399	1
5192at7399	0
5198at7399	0
5201at7399	0
5203at7399	1
5204at7399	0
5205at7399	1
5206at7399	1
5208at7399	2
5211at7399	1
5214at7399	0
5218at7399	0
5220at7399	0
5221at7399	2
5223at7399	0
5224at7399	3
5232at7399	1
5238at7399	0
5241at7399	0
5243at7399	1
5247at7399	1
5252at7399	1
5254at7399	0
5256at7399	0
5262at7399	0
5266at7399	1
5267at7399	2
5268at7399	1
5271at7399	0
5278at7399	2
5280at7399	6
5281at7399	3
5285at7399	3
5288at7399	0
5289at7399	0
5290at7399	2
5291at7399	1
5292at7399	0
5293at7399	0
5296at7399	2
5298at7399	3
5299at7399	1
5306at7399	2
5307at7399	2
5311at7399	2
5312at7399	4
5315at7399	0
5317at7399	0
5318at7399	2
5321at7399	2
5322at7399	2
5323at7399	1
5329at7399	0
5332at7399	0
5334at7399	0
5336at7399	1
5337at7399	3
5338at7399	0
5339at7399	0
5346at7399	0
5353at7399	1
5355at7399	0
5358at7399	1
5363at7399	0
5374at7399	2
5375at7399	0
5376at7399	0
5377at7399	0
5379at7399	0
5385at7399	7
5393at7399	1
5394at7399	0
5396at7399	0
5399at7399	0
5401at7399	0
5404at7399	1
5406at7399	3
5408at7399	1
5410at7399	0
5414at7399	1
5415at7399	0
5417at7399	1
5418at7399	2
5421at7399	2
5424at7399	2
5426at7399	0
5431at7399	0
5433at7399	1
5434at7399	1
5435at7399	0
5444at7399	3
5446at7399	2
5447at7399	1
5448at7399	1
5450at7399	1
5453at7399	1
5454at7399	0
5462at7399	0
5468at7399	0
5469at7399	1
5470at7399	3
5474at7399	0
5477at7399	2
5478at7399	0
5479at7399	1
5484at7399	1
5485at7399	0
5490at7399	1
5492at7399	2
5496at7399	2
5498at7399	0
5499at7399	0
5500at7399	1
5501at7399	5
5506at7399	1
5511at7399	2
5515at7399	1
5517at7399	0
5520at7399	2
5521at7399	1
5524at7399	0
5526at7399	4
5530at7399	4
5531at7399	1
5533at7399	2
5536at7399	1
5539at7399	0
5545at7399	1
5553at7399	1
5554at7399	2
5558at7399	0
5566at7399	1
5570at7399	3
5571at7399	0
5576at7399	1
5577at7399	1
5589at7399	0
5592at7399	0
5594at7399	1
5597at7399	1
5600at7399	0
5601at7399	3
5607at7399	0
5608at7399	3
5610at7399	0
5611at7399	0
5618at7399	4
5619at7399	6
5621at7399	2
5626at7399	2
5632at7399	1
5633at7399	1
5636at7399	0
5639at7399	0
5641at7399	1
5642at7399	0
5643at7399	0
5644at7399	2
5645at7399	0
5654at7399	0
5656at7399	2
5666at7399	0
5675at7399	0
5677at7399	0
5678at7399	0
5679at7399	3
5682at7399	1
5685at7399	0
5688at7399	0
5690at7399	1
5691at7399	1
5694at7399	0
5695at7399	1
5706at7399	1
5709at7399	0
5710at7399	1
5711at7399	2
5712at7399	0
5713at7399	0
5719at7399	1
5721at7399	0
5725at7399	2
5730at7399	0
5731at7399	0
5732at7399	0
5739at7399	1
5744at7399	1
5754at7399	0
5756at7399	9
5760at7399	0
5766at7399	0
5773at7399	0
5778at7399	2
5779at7399	0
5787at7399	0
5789at7399	1
5790at7399	1
5792at7399	1
5800at7399	0
5803at7399	2
5806at7399	0
5810at7399	2
5811at7399	0
5818at7399	0
5827at7399	1
5829at7399	0
5830at7399	2
5832at7399	0
