orthogroup	AGE
MZ22500553	43.0
MZ22500554	43.0
MZ22500555	43.0
MZ22500557	43.0
MZ22500558	43.0
MZ22500562	43.0
MZ22500563	43.0
MZ22500565	43.0
MZ22500566	43.0
MZ22500570	43.0
MZ22500571	43.0
MZ22500572	43.0
MZ22500573	43.0
MZ22500574	43.0
MZ22500576	43.0
MZ22500577	43.0
MZ22500579	43.0
MZ22500580	43.0
MZ22500581	43.0
MZ22500582	43.0
MZ22500583	43.0
MZ22500584	43.0
MZ22500585	43.0
MZ22500589	43.0
MZ22500590	11.57917827
MZ22500591	43.0
MZ22500597	43.0
MZ22500599	43.0
MZ22500601	43.0
MZ22500603	43.0
MZ22500605	43.0
MZ22500607	43.0
MZ22500610	43.0
MZ22500611	43.0
MZ22500612	43.0
MZ22500613	43.0
MZ22500614	43.0
MZ22500615	43.0
MZ22500618	43.0
MZ22500620	43.0
MZ22500623	43.0
MZ22500624	43.0
MZ22500629	43.0
MZ22500630	43.0
MZ22500633	43.0
MZ22500634	43.0
MZ22500635	43.0
MZ22500636	43.0
MZ22500637	27.90365678
MZ22500638	43.0
MZ22500640	43.0
MZ22500642	43.0
MZ22500644	43.0
MZ22500645	43.0
MZ22500647	43.0
MZ22500648	43.0
MZ22500650	43.0
MZ22500654	43.0
MZ22500655	43.0
MZ22500658	43.0
MZ22500664	43.0
MZ22500665	43.0
MZ22500666	43.0
MZ22500668	43.0
MZ22500670	43.0
MZ22500671	43.0
MZ22500673	43.0
MZ22500675	43.0
MZ22500677	43.0
MZ22500678	43.0
MZ22500680	43.0
MZ22500682	43.0
MZ22500683	27.90365678
MZ22500684	43.0
MZ22500687	43.0
MZ22500688	43.0
MZ22500690	27.90365678
MZ22500691	43.0
MZ22500693	43.0
MZ22500698	43.0
MZ22500699	43.0
MZ22500701	43.0
MZ22500705	43.0
MZ22500708	43.0
MZ22500710	43.0
MZ22500713	27.90365678
MZ22500715	43.0
MZ22500721	43.0
MZ22500722	43.0
MZ22500723	43.0
MZ22500725	43.0
MZ22500726	43.0
MZ22500728	43.0
MZ22500731	43.0
MZ22500733	43.0
MZ22500734	43.0
MZ22500736	43.0
MZ22500738	43.0
MZ22500740	43.0
MZ22500741	43.0
MZ22500742	43.0
MZ22500743	43.0
MZ22500746	43.0
MZ22500751	43.0
MZ22500752	43.0
MZ22500754	19.19682665
MZ22500755	43.0
MZ22500756	43.0
MZ22500757	43.0
MZ22500758	43.0
MZ22500762	43.0
MZ22500765	43.0
MZ22500767	43.0
MZ22500769	43.0
MZ22500770	43.0
MZ22500772	43.0
MZ22500773	43.0
MZ22500775	43.0
MZ22500776	43.0
MZ22500779	43.0
MZ22500781	43.0
MZ22500783	43.0
MZ22500784	43.0
MZ22500785	43.0
MZ22500788	43.0
MZ22500790	43.0
MZ22500791	43.0
MZ22500793	43.0
MZ22500794	43.0
MZ22500795	43.0
MZ22500799	43.0
MZ22500800	43.0
MZ22500802	43.0
MZ22500804	43.0
MZ22500806	43.0
MZ22500810	43.0
MZ22500811	43.0
MZ22500814	43.0
MZ22500817	43.0
MZ22500818	43.0
MZ22500820	43.0
MZ22500821	43.0
MZ22500822	43.0
MZ22500828	43.0
MZ22500834	43.0
MZ22500835	43.0
MZ22500838	43.0
MZ22500839	43.0
MZ22500840	43.0
MZ22500841	43.0
MZ22500842	43.0
MZ22500843	43.0
MZ22500845	43.0
MZ22500846	43.0
MZ22500847	43.0
MZ22500848	43.0
MZ22500851	43.0
MZ22500853	43.0
MZ22500854	43.0
MZ22500855	43.0
MZ22500858	43.0
MZ22500859	43.0
MZ22500861	43.0
MZ22500862	43.0
MZ22500864	43.0
MZ22500865	43.0
MZ22500866	43.0
MZ22500867	43.0
MZ22500868	43.0
MZ22500869	43.0
MZ22500870	43.0
MZ22500873	43.0
MZ22500875	43.0
MZ22500876	43.0
MZ22500878	43.0
MZ22500880	43.0
MZ22500881	27.90365678
MZ22500882	43.0
MZ22500885	43.0
MZ22500886	43.0
MZ22500888	43.0
MZ22500890	43.0
MZ22500892	43.0
MZ22500894	43.0
MZ22500897	43.0
MZ22500899	43.0
MZ22500900	43.0
MZ22500902	43.0
MZ22500907	43.0
MZ22500908	43.0
MZ22500911	43.0
MZ22500913	43.0
MZ22500916	43.0
MZ22500917	43.0
MZ22500918	43.0
MZ22500919	43.0
MZ22500920	43.0
MZ22500922	43.0
MZ22500923	43.0
MZ22500925	43.0
MZ22500926	43.0
MZ22500927	43.0
MZ22500930	43.0
MZ22500931	43.0
MZ22500934	43.0
MZ22500935	43.0
MZ22500938	43.0
MZ22500939	43.0
MZ22500942	43.0
MZ22500943	43.0
MZ22500944	43.0
MZ22500945	43.0
MZ22500949	43.0
MZ22500951	43.0
MZ22500953	43.0
MZ22500955	43.0
MZ22500956	43.0
MZ22500957	43.0
MZ22500959	43.0
MZ22500960	43.0
MZ22500961	43.0
MZ22500962	43.0
MZ22500963	43.0
MZ22500966	43.0
MZ22500967	43.0
MZ22500969	43.0
MZ22500974	43.0
MZ22500975	43.0
MZ22500976	43.0
MZ22500977	43.0
MZ22500978	43.0
MZ22500979	43.0
MZ22500980	43.0
MZ22500981	43.0
MZ22500982	43.0
MZ22500984	43.0
MZ22500986	43.0
MZ22500988	43.0
MZ22500989	19.19682665
MZ22500991	43.0
MZ22500992	43.0
MZ22500996	43.0
MZ22500997	43.0
MZ22501001	43.0
MZ22501004	43.0
MZ22501006	43.0
MZ22501007	43.0
MZ22501008	43.0
MZ22501009	43.0
MZ22501010	43.0
MZ22501013	43.0
MZ22501014	43.0
MZ22501016	43.0
MZ22501018	43.0
MZ22501026	43.0
MZ22501028	43.0
MZ22501029	43.0
MZ22501032	43.0
MZ22501033	43.0
MZ22501036	43.0
MZ22501037	43.0
MZ22501038	43.0
MZ22501039	43.0
MZ22501040	43.0
MZ22501042	43.0
MZ22501043	43.0
MZ22501044	43.0
MZ22501045	43.0
MZ22501046	43.0
MZ22501049	43.0
MZ22501052	43.0
MZ22501053	43.0
MZ22501057	43.0
MZ22501058	43.0
MZ22501059	43.0
MZ22501064	43.0
MZ22501066	43.0
MZ22501068	43.0
MZ22501069	43.0
MZ22501071	43.0
MZ22501072	43.0
MZ22501074	43.0
MZ22501077	27.90365678
MZ22501078	43.0
MZ22501079	43.0
MZ22501080	43.0
MZ22501082	43.0
MZ22501084	43.0
MZ22501086	43.0
MZ22501087	43.0
MZ22501090	43.0
MZ22501095	43.0
MZ22501096	43.0
MZ22501098	43.0
MZ22501099	43.0
MZ22501100	43.0
MZ22501109	43.0
MZ22501111	43.0
MZ22501117	27.90365678
MZ22501118	43.0
MZ22501119	43.0
MZ22501124	43.0
MZ22501130	43.0
MZ22501132	43.0
MZ22501133	43.0
MZ22501136	43.0
MZ22501137	43.0
MZ22501140	43.0
MZ22501143	43.0
MZ22501145	43.0
MZ22501146	43.0
MZ22501147	43.0
MZ22501148	43.0
MZ22501151	43.0
MZ22501153	43.0
MZ22501154	43.0
MZ22501155	43.0
MZ22501157	43.0
MZ22501158	43.0
MZ22501159	43.0
MZ22501160	43.0
MZ22501162	43.0
MZ22501163	43.0
MZ22501164	43.0
MZ22501166	43.0
MZ22501168	43.0
MZ22501169	43.0
MZ22501171	43.0
MZ22501172	43.0
MZ22501173	43.0
MZ22501175	43.0
MZ22501176	43.0
MZ22501177	43.0
MZ22501179	43.0
MZ22501182	43.0
MZ22501183	43.0
MZ22501185	43.0
MZ22501188	43.0
MZ22501189	43.0
MZ22501192	43.0
MZ22501193	43.0
MZ22501194	19.19682665
MZ22501199	43.0
MZ22501201	43.0
MZ22501203	19.19682665
MZ22501207	43.0
MZ22501210	43.0
MZ22501211	43.0
MZ22501213	43.0
MZ22501214	43.0
MZ22501215	43.0
MZ22501217	43.0
MZ22501218	43.0
MZ22501221	43.0
MZ22501222	43.0
MZ22501223	43.0
MZ22501224	43.0
MZ22501228	43.0
MZ22501233	43.0
MZ22501235	43.0
MZ22501236	43.0
MZ22501238	43.0
MZ22501243	43.0
MZ22501244	43.0
MZ22501246	43.0
MZ22501248	43.0
MZ22501250	43.0
MZ22501253	43.0
MZ22501255	43.0
MZ22501257	43.0
MZ22501258	43.0
MZ22501259	43.0
MZ22501260	43.0
MZ22501265	27.90365678
MZ22501266	43.0
MZ22501269	43.0
MZ22501272	43.0
MZ22501273	43.0
MZ22501275	43.0
MZ22501276	43.0
MZ22501277	43.0
MZ22501278	43.0
MZ22501280	43.0
MZ22501281	43.0
MZ22501283	43.0
MZ22501288	43.0
MZ22501289	43.0
MZ22501295	43.0
MZ22501296	43.0
MZ22501297	43.0
MZ22501301	43.0
MZ22501303	43.0
MZ22501305	43.0
MZ22501307	43.0
MZ22501308	43.0
MZ22501310	43.0
MZ22501314	43.0
MZ22501318	43.0
MZ22501320	43.0
MZ22501321	43.0
MZ22501323	1.979807516
MZ22501324	43.0
MZ22501326	43.0
MZ22501328	15.68373472
MZ22501331	43.0
MZ22501332	43.0
MZ22501335	43.0
MZ22501336	43.0
MZ22501339	43.0
MZ22501341	43.0
MZ22501343	43.0
MZ22501345	43.0
MZ22501346	43.0
MZ22501347	43.0
MZ22501348	43.0
MZ22501350	43.0
MZ22501351	43.0
MZ22501352	43.0
MZ22501355	43.0
MZ22501357	43.0
MZ22501359	43.0
MZ22501360	43.0
MZ22501361	19.19682665
MZ22501365	43.0
MZ22501366	43.0
MZ22501367	43.0
MZ22501369	43.0
MZ22501370	43.0
MZ22501371	43.0
MZ22501372	43.0
MZ22501375	43.0
MZ22501377	43.0
MZ22501379	43.0
MZ22501385	43.0
MZ22501388	43.0
MZ22501390	43.0
MZ22501392	43.0
MZ22501393	43.0
MZ22501396	43.0
MZ22501398	43.0
MZ22501404	43.0
MZ22501405	43.0
MZ22501406	43.0
MZ22501407	43.0
MZ22501409	43.0
MZ22501410	43.0
MZ22501411	43.0
MZ22501412	43.0
MZ22501415	43.0
MZ22501416	43.0
MZ22501417	43.0
MZ22501419	43.0
MZ22501420	43.0
MZ22501424	43.0
MZ22501425	43.0
MZ22501431	43.0
MZ22501433	43.0
MZ22501434	43.0
MZ22501438	43.0
MZ22501439	19.19682665
MZ22501444	43.0
MZ22501445	43.0
MZ22501449	43.0
MZ22501455	43.0
MZ22501457	43.0
MZ22501458	43.0
MZ22501460	43.0
MZ22501461	43.0
MZ22501464	43.0
MZ22501465	43.0
MZ22501467	43.0
MZ22501469	43.0
MZ22501474	43.0
MZ22501475	43.0
MZ22501477	43.0
MZ22501480	43.0
MZ22501481	43.0
MZ22501483	43.0
MZ22501484	43.0
MZ22501486	43.0
MZ22501491	43.0
MZ22501492	43.0
MZ22501496	43.0
MZ22501500	43.0
MZ22501503	43.0
MZ22501505	43.0
MZ22501506	43.0
MZ22501507	43.0
MZ22501510	43.0
MZ22501511	43.0
MZ22501512	43.0
MZ22501513	43.0
MZ22501515	43.0
MZ22501518	43.0
MZ22501520	43.0
MZ22501521	43.0
MZ22501526	43.0
MZ22501531	43.0
MZ22501533	43.0
MZ22501534	43.0
MZ22501535	43.0
MZ22501537	43.0
MZ22501541	43.0
MZ22501545	43.0
MZ22501546	43.0
MZ22501551	43.0
MZ22501552	43.0
MZ22501553	43.0
MZ22501554	43.0
MZ22501557	43.0
MZ22501559	43.0
MZ22501560	43.0
MZ22501561	43.0
MZ22501565	43.0
MZ22501566	43.0
MZ22501571	43.0
MZ22501572	43.0
MZ22501577	43.0
MZ22501578	43.0
MZ22501582	43.0
MZ22501587	43.0
MZ22501588	43.0
MZ22501591	43.0
MZ22501593	43.0
MZ22501595	43.0
MZ22501598	43.0
MZ22501599	43.0
MZ22501607	43.0
MZ22501608	43.0
MZ22501609	43.0
MZ22501610	43.0
MZ22501611	43.0
MZ22501613	43.0
MZ22501614	43.0
MZ22501625	43.0
MZ22501627	43.0
MZ22501628	43.0
MZ22501629	43.0
MZ22501630	43.0
MZ22501631	43.0
MZ22501632	43.0
MZ22501633	43.0
MZ22501636	43.0
MZ22501638	43.0
MZ22501641	43.0
MZ22501642	43.0
MZ22501644	43.0
MZ22501646	43.0
MZ22501648	43.0
MZ22501650	43.0
MZ22501652	43.0
MZ22501659	43.0
MZ22501660	43.0
MZ22501661	43.0
MZ22501662	43.0
MZ22501664	43.0
MZ22501669	43.0
MZ22501670	43.0
MZ22501671	43.0
MZ22501674	43.0
MZ22501675	43.0
MZ22501676	43.0
MZ22501678	43.0
MZ22501679	43.0
MZ22501681	43.0
MZ22501683	43.0
MZ22501685	43.0
MZ22501686	43.0
MZ22501690	43.0
MZ22501692	43.0
MZ22501693	43.0
MZ22501695	43.0
MZ22501698	43.0
MZ22501701	43.0
MZ22501703	43.0
MZ22501704	43.0
MZ22501707	43.0
MZ22501708	43.0
MZ22501713	43.0
MZ22501716	43.0
MZ22501719	43.0
MZ22501721	43.0
MZ22501727	43.0
MZ22501728	43.0
MZ22501729	43.0
MZ22501730	43.0
MZ22501731	43.0
MZ22501733	43.0
MZ22501734	43.0
MZ22501735	43.0
MZ22501740	43.0
MZ22501741	43.0
MZ22501745	43.0
MZ22501746	43.0
MZ22501747	43.0
MZ22501748	43.0
MZ22501749	43.0
MZ22501750	43.0
MZ22501751	27.90365678
MZ22501755	43.0
MZ22501756	43.0
MZ22501758	43.0
MZ22501759	43.0
MZ22501760	43.0
MZ22501761	43.0
MZ22501763	43.0
MZ22501764	27.90365678
MZ22501765	43.0
MZ22501766	43.0
MZ22501769	43.0
MZ22501772	43.0
MZ22501776	43.0
MZ22501777	43.0
MZ22501782	43.0
MZ22501784	43.0
MZ22501785	43.0
MZ22501789	43.0
MZ22501790	43.0
MZ22501796	43.0
MZ22501799	43.0
MZ22501800	43.0
MZ22501801	43.0
MZ22501809	43.0
MZ22501810	43.0
MZ22501811	43.0
MZ22501815	43.0
MZ22501822	43.0
MZ22501823	43.0
MZ22501828	43.0
MZ22501831	43.0
MZ22501838	43.0
MZ22501839	43.0
MZ22501845	43.0
MZ22501848	43.0
MZ22501849	43.0
MZ22501852	43.0
MZ22501856	43.0
MZ22501858	43.0
MZ22501860	43.0
MZ22501861	43.0
MZ22501863	43.0
MZ22501864	43.0
MZ22501865	43.0
MZ22501866	43.0
MZ22501867	43.0
MZ22501868	43.0
MZ22501873	43.0
MZ22501875	43.0
MZ22501876	43.0
MZ22501879	43.0
MZ22501882	43.0
MZ22501883	43.0
MZ22501887	43.0
MZ22501889	43.0
MZ22501892	43.0
MZ22501894	19.19682665
MZ22501896	43.0
MZ22501897	43.0
MZ22501902	43.0
MZ22501904	43.0
MZ22501905	43.0
MZ22501906	43.0
MZ22501907	43.0
MZ22501908	43.0
MZ22501909	43.0
MZ22501910	43.0
MZ22501911	43.0
MZ22501912	27.90365678
MZ22501913	43.0
MZ22501915	43.0
MZ22501916	43.0
MZ22501918	43.0
MZ22501919	43.0
MZ22501922	43.0
MZ22501924	43.0
MZ22501929	43.0
MZ22501932	43.0
MZ22501933	43.0
MZ22501934	43.0
MZ22501939	27.90365678
MZ22501940	43.0
MZ22501943	43.0
MZ22501944	43.0
MZ22501950	19.19682665
MZ22501951	43.0
MZ22501953	43.0
MZ22501954	43.0
MZ22501956	43.0
MZ22501957	43.0
MZ22501958	43.0
MZ22501960	43.0
MZ22501961	43.0
MZ22501964	43.0
MZ22501966	43.0
MZ22501969	43.0
MZ22501970	43.0
MZ22501971	43.0
MZ22501973	43.0
MZ22501975	43.0
MZ22501976	43.0
MZ22501977	43.0
MZ22501980	43.0
MZ22501986	43.0
MZ22501987	43.0
MZ22501991	43.0
MZ22501992	43.0
MZ22501996	43.0
MZ22501997	43.0
MZ22501999	43.0
MZ22502000	43.0
MZ22502001	43.0
MZ22502002	43.0
MZ22502005	43.0
MZ22502012	43.0
MZ22502015	43.0
MZ22502017	43.0
MZ22502018	43.0
MZ22502021	43.0
MZ22502023	43.0
MZ22502029	43.0
MZ22502030	43.0
MZ22502033	43.0
MZ22502034	43.0
MZ22502037	43.0
MZ22502039	43.0
MZ22502042	43.0
MZ22502043	43.0
MZ22502044	43.0
MZ22502046	43.0
MZ22502048	43.0
MZ22502049	43.0
MZ22502051	43.0
MZ22502052	43.0
MZ22502053	43.0
MZ22502055	43.0
MZ22502059	43.0
MZ22502060	43.0
MZ22502064	43.0
MZ22502065	43.0
MZ22502069	27.90365678
MZ22502070	43.0
MZ22502073	43.0
MZ22502075	43.0
MZ22502076	43.0
MZ22502077	43.0
MZ22502083	43.0
MZ22502085	43.0
MZ22502086	43.0
MZ22502090	43.0
MZ22502093	27.90365678
MZ22502094	43.0
MZ22502097	43.0
MZ22502098	43.0
MZ22502101	43.0
MZ22502102	43.0
MZ22502109	43.0
MZ22502110	43.0
MZ22502112	43.0
MZ22502113	43.0
MZ22502114	43.0
MZ22502115	43.0
MZ22502117	43.0
MZ22502118	43.0
MZ22502119	43.0
MZ22502121	43.0
MZ22502123	43.0
MZ22502126	43.0
MZ22502128	43.0
MZ22502132	43.0
MZ22502135	43.0
MZ22502137	43.0
MZ22502138	43.0
MZ22502139	43.0
MZ22502141	43.0
MZ22502142	43.0
MZ22502144	43.0
MZ22502145	43.0
MZ22502149	43.0
MZ22502151	43.0
MZ22502152	43.0
MZ22502156	43.0
MZ22502157	43.0
MZ22502158	43.0
MZ22502159	43.0
MZ22502161	43.0
MZ22502162	43.0
MZ22502163	43.0
MZ22502166	43.0
MZ22502168	43.0
MZ22502172	43.0
MZ22502173	43.0
MZ22502175	43.0
MZ22502179	43.0
MZ22502183	27.90365678
MZ22502185	43.0
MZ22502186	27.90365678
MZ22502187	43.0
MZ22502189	43.0
MZ22502190	43.0
MZ22502192	43.0
MZ22502194	43.0
MZ22502197	43.0
MZ22502198	43.0
MZ22502199	43.0
MZ22502200	43.0
MZ22502202	43.0
MZ22502203	43.0
MZ22502204	43.0
MZ22502205	43.0
MZ22502207	43.0
MZ22502208	43.0
MZ22502210	43.0
MZ22502215	43.0
MZ22502217	43.0
MZ22502218	43.0
MZ22502219	43.0
MZ22502224	43.0
MZ22502225	43.0
MZ22502227	27.90365678
MZ22502228	43.0
MZ22502229	43.0
MZ22502232	43.0
MZ22502237	43.0
MZ22502239	43.0
MZ22502241	43.0
MZ22502242	43.0
MZ22502244	43.0
MZ22502245	43.0
MZ22502251	43.0
MZ22502253	43.0
MZ22502255	43.0
MZ22502257	43.0
MZ22502259	43.0
MZ22502260	43.0
MZ22502263	43.0
MZ22502265	43.0
MZ22502267	43.0
MZ22502268	43.0
MZ22502270	43.0
MZ22502274	43.0
MZ22502275	43.0
MZ22502276	43.0
MZ22502278	43.0
MZ22502280	43.0
MZ22502282	43.0
MZ22502283	43.0
MZ22502288	43.0
MZ22502289	15.68373472
MZ22502290	43.0
MZ22502291	43.0
MZ22502292	43.0
MZ22502296	43.0
MZ22502300	43.0
MZ22502303	43.0
MZ22502304	19.19682665
MZ22502306	43.0
MZ22502307	43.0
MZ22502309	43.0
MZ22502312	43.0
MZ22502317	43.0
MZ22502318	43.0
MZ22502322	43.0
MZ22502323	43.0
MZ22502324	43.0
MZ22502327	43.0
MZ22502328	43.0
MZ22502329	43.0
MZ22502332	43.0
MZ22502333	43.0
MZ22502334	43.0
MZ22502335	43.0
MZ22502340	43.0
MZ22502343	43.0
MZ22502344	43.0
MZ22502347	27.90365678
MZ22502348	43.0
MZ22502350	43.0
MZ22502351	43.0
MZ22502352	43.0
MZ22502354	43.0
MZ22502361	43.0
MZ22502364	43.0
MZ22502365	43.0
MZ22502366	43.0
MZ22502368	43.0
MZ22502369	43.0
MZ22502371	43.0
MZ22502373	43.0
MZ22502375	43.0
MZ22502376	43.0
MZ22502377	43.0
MZ22502381	43.0
MZ22502383	43.0
MZ22502385	43.0
MZ22502386	43.0
MZ22502387	43.0
MZ22502390	43.0
MZ22502394	43.0
MZ22502400	43.0
MZ22502401	43.0
MZ22502403	43.0
MZ22502404	43.0
MZ22502406	43.0
MZ22502407	43.0
