gene	CNV
GB44089	0.24266086899999997
GB40008	0.24266086899999997
GB55781	0.291661041
GB47976	0.46088121600000004
GB47946	0.560990859
GB46705	0.15058465
GB51956	0.20538978800000002
GB47470	0.0
GB55650	0.272727273
GB52098	0.275166502
GB52252	0.15058465
GB47452	0.15058465
GB44587	0.0
GB54468,GB49507	0.174239063
GB41196	0.339411255
GB40498	0.0
GB50114	0.20538978800000002
GB43870	0.461880215
GB49951	0.20538978800000002
GB54130	0.15058465
GB47938	0.0
GB50548	0.0
GB49929	0.0
GB52848	0.152317024
GB51673	0.255124984
GB44262	0.0
GB46325	0.20538978800000002
GB51545	0.207566616
GB51405	0.15058465
GB53320	0.321401743
GB43214	0.0
GB46253,GB46253	0.255124984
GB51191	0.20538978800000002
GB54884	0.15411035
GB42359	0.17371499399999998
GB55490	0.15058465
GB41989	0.425523159
GB41850	0.245015204
GB42374	0.0
GB49432	0.0
GB51773,GB46836	0.20538978800000002
GB45073	0.159894048
GB51344	0.0
GB53315	0.207566616
GB49187	0.0
GB53554,GB53558,GB53558	0.430994124
GB47009	0.15058465
GB41468	0.337016686
GB42489	0.351878566
GB48853	0.0
GB43459	0.159894048
GB51104	0.20538978800000002
GB47628	0.15058465
GB41847	0.15058465
GB55143,GB41007	0.207566616
GB41119	0.24266086899999997
GB52997	0.15058465
GB44685	0.0
GB53104	0.15058465
GB53929	0.171163299
GB42976,GB42975,GB42976	0.318181818
GB45260	0.159894048
GB40993	0.0
GB49601	0.0
GB40010	0.0
GB42022	0.0
GB55375	0.15789473699999998
GB51276	0.0
GB44485	0.27034500100000003
GB49872	0.15058465
GB41852	0.318181818
GB47688	0.0
GB46321	0.0
GB46736	0.0
GB44218	0.24743583
GB48972	0.0
GB46795	0.0
GB43611	0.294165364
GB41634	0.15058465
GB44213,GB52278	0.20538978800000002
GB52613	0.24266086899999997
GB48355	0.207566616
GB55591	0.20538978800000002
GB49149	0.20538978800000002
GB45823	0.15058465
GB44905	0.0
GB48693	0.0
GB52985	0.0
GB45281	0.0
GB51998	0.0
GB42495	0.15058465
GB40993,GB53008	0.152317024
GB49106	0.0
GB41745	0.15058465
GB51619,GB51619	0.769467328
GB44183	0.152317024
GB46140	0.0
GB54507	0.15058465
GB48515	0.36461452899999997
GB49336	0.20538978800000002
GB40140	0.15058465
GB52306	0.15058465
GB55538	0.0
GB45717	0.0
GB54912	0.24266086899999997
GB53340	0.24266086899999997
GB47581	0.34523170299999995
GB49767	0.152317024
GB43771	0.318181818
GB52213,GB52213	0.21956860600000003
GB42035	0.0
GB52621	0.0
GB53959	0.152317024
GB54235	0.214528212
GB42508	0.20538978800000002
GB50923	0.20538978800000002
GB55808	0.0
GB54777	0.337016686
GB41645	0.20538978800000002
GB50498	0.0
GB47190	0.24266086899999997
GB47879,GB47879	0.15058465
GB53909	0.0
GB50853	0.0
GB44673	0.0
GB40808	0.15058465
GB46270	0.0
GB46614	0.308327165
GB48825	0.294165364
GB54320	0.214528212
GB52574	0.15058465
GB49346	0.20538978800000002
GB55020	0.0
GB48577	0.159894048
GB51360	0.0
GB47099	0.0
GB53517	0.0
GB52555,GB52555	0.15058465
GB51962	0.20538978800000002
GB52590	0.641540196
GB45821	0.20538978800000002
GB49491	0.152317024
GB54568	0.0
GB53412	0.7367018340000001
GB50827	0.325361512
GB41884	0.0
GB53701	0.0
GB49172	0.15058465
GB50535	0.0
GB50852	0.15058465
GB42427	0.582671582
GB52238	0.27034500100000003
GB43860	0.0
GB40251,GB40251	0.318181818
GB50378,GB50388	0.949372407
GB41287	0.15058465
GB51337	0.15058465
GB44959	0.0
GB40346	0.24266086899999997
GB54530	0.15058465
GB53305	0.0
GB52001	0.441098516
GB53778	0.15058465
GB43173	0.15058465
GB54538	0.24266086899999997
GB41332	0.0
GB55583,GB51769	0.36357462700000004
GB45774	0.15058465
GB55888	0.0
GB43304	0.20538978800000002
GB49171	0.0
GB55237,GB55237	0.20538978800000002
GB45972	0.0
GB48795	0.0
GB53341	0.152317024
GB46564	0.27034500100000003
GB41215	0.0
GB50690	0.20538978800000002
GB51589	0.0
GB49767,GB55648,GB54069	0.268048928
GB41639	0.0
GB52168	0.159894048
GB48234	0.8436033820000001
GB53269	0.0
GB48192	0.252487623
GB50969	0.0
GB44595	0.0
GB47098	0.27034500100000003
GB51653	0.27034500100000003
GB42014	0.0
GB42031	0.0
GB45101	0.0
GB42728	0.20538978800000002
GB43462	0.20538978800000002
GB48789	0.0
GB54177	0.20981281100000002
GB55480,GB51897	0.20667861399999998
GB50357	0.15058465
GB44341	0.24266086899999997
GB47308	0.0
GB47829	0.0
GB46332	0.20538978800000002
GB52472	0.20538978800000002
GB49428	0.15058465
GB44092,GB47528	0.441098516
GB51255	0.435431613
GB48203	0.24266086899999997
GB51036	0.15058465
GB43631	0.15058465
GB48994	0.0
GB51207	0.0
GB40689	0.255124984
GB52537	0.0
GB47680	0.0
GB40703	0.20538978800000002
GB47118	0.0
GB53149	0.297380857
GB51596	0.0
GB44899	0.0
GB51660	0.152317024
GB43796	0.207566616
GB48204,GB48204	0.24266086899999997
GB42984	0.15058465
GB46126	0.29108999
GB52536	0.15058465
GB52759	0.0
GB40452	0.0
GB48305	0.337016686
GB54288	0.0
GB40440	0.15058465
