Desc	Family ID	Acromyrmex_echinatior	Acyrthosiphon_pisum	Aedes_aegypti	Aedes_albopictus	Aethina_tumida	Agrilus_planipennis	Amyelois_transitella	Anopheles_albimanus	Anopheles_atroparvus	Anopheles_christyi	Anopheles_culicifacies	Anopheles_darlingi	Anopheles_dirus	Anopheles_epiroticus	Anopheles_farauti	Anopheles_funestus	Anopheles_gambiae	Anopheles_maculatus	Anopheles_minimus	Anopheles_sinensis	Anopheles_stephensi	Anoplophora_glabripennis	Aphis_glycines	Apis_mellifera	Athalia_rosae	Atta_colombica	Bactrocera_latifrons	Bactrocera_oleae	Belgica_antarctica	Bemisia_tabaci	Blattella_germanica	Bombus_impatiens	Bombyx_mori	Calopteryx_splendens	Campodea_augens	Camponotus_floridanus	Cardiocondyla_obscurior	Catajapyx_aquilonaris	Centruroides_sculpturatus	Cephus_cinctus	Ceratina_calcarata	Ceratitis_capitata	Ceratosolen_solmsi_marchali	Chilo_suppressalis	Cimex_lectularius	Clunio_marinus	Copidosoma_floridanum	Culex_quinquefasciatus	Cyphomyrmex_costatus	Danaus_plexippus	Daphnia_magna	Daphnia_pulex	Dendroctonus_ponderosae	Diachasma_alloeum	Diaphorina_citri	Dinoponera_quadriceps	Diuraphis_noxia	Drosophila_ananassae	Drosophila_biarmipes	Drosophila_bipectinata	Drosophila_busckii	Drosophila_elegans	Drosophila_erecta	Drosophila_eugracilis	Drosophila_ficusphila	Drosophila_grimshawi	Drosophila_hydei	Drosophila_melanogaster	Drosophila_mojavensis	Drosophila_obscura	Drosophila_pseudoobscura	Drosophila_rhopaloa	Drosophila_serrata	Drosophila_takahashii	Drosophila_virilis	Drosophila_willistoni	Drosophila_yakuba	Dufourea_novaeangliae	Ephemera_danica	Eufriesea_mexicana	Euglossa_dilemma	Euroglyphus_maynei	Eurytemora_affinis	Folsomia_candida	Fopius_arisanus	Frankliniella_occidentalis	Galendromus_occidentalis	Galloisiana_yuasai	Gerris_buenoi	Glossina_austeni	Glossina_brevipalpis	Glossina_morsitans	Glossina_palpalis	Habropoda_laboriosa	Halyomorpha_halys	Harpegnathos_saltator	Heliconius_erato_lativitta	Heliconius_melpomene	Helicoverpa_armigera	Homalodisca_vitripennis	Hyalella_azteca	Ixodes_scapularis	Ladona_fulva	Lasioglossum_albipes	Lasius_niger	Lepeophtheirus_salmonis	Leptinotarsa_decemlineata	Limnephilus_lunatus	Limulus_polyphemus	Linepithema_humile	Locusta_migratoria	Lucilia_cuprina	Lutzomyia_longipalpis	Macrocentrus_cingulum	Manduca_sexta	Mayetiola_destructor	Megachile_rotundata	Melipona_quadrifasciata	Melitaea_cinxia	Mengenilla_moldrzyki	Microplitis_demolitor	Monomorium_pharaonis	Musca_domestica	Myzus_cerasi	Myzus_persicae	Nasonia_vitripennis	Neodiprion_lecontei	Nicrophorus_vespilloides	Nilaparvata_lugens	Oncopeltus_fasciatus	Onthophagus_taurus	Ooceraea_biroi	Operophtera_brumata	Orchesella_cincta	Orussus_abietinus	Oryctes_borbonicus	Pachypsylla_venusta	Papilio_glaucus	Papilio_polytes	Papilio_xuthus	Parasteatoda_tepidariorum	Pediculus_humanus	Phlebotomus_papatasi	Pieris_rapae	Plutella_xylostella	Pogonomyrmex_barbatus	Polistes_canadensis	Polypedilum_nubifer	Polypedilum_vanderplanki	Pseudomyrmex_gracilis	Rhagoletis_zephyria	Rhodnius_prolixus	Rhopalosiphum_padi	Sarcoptes_scabiei	Solenopsis_invicta	Spodoptera_litura	Stegodyphus_mimosarum	Stomoxys_calcitrans	Strigamia_maritima	Tetranychus_urticae	Tigriopus_californicus	Trachymyrmex_septentrionalis	Tribolium_castaneum	Trichogramma_pretiosum	Tropilaelaps_mercedesae	Varroa_jacobsoni	Vollenhovia_emeryi	Wasmannia_auropunctata	Zeugodacus_cucurbitae	Zootermopsis_nevadensis
125	42838at6656	2	86	1	21	1	6	8	3	0	2	0	0	7	6	0	4	0	0	3	0	5	5	4	0	3	0	1	0	4	18	4	0	2	17	4	3	8	5	21	1	13	0	0	0	2	4	25	27	58	1	4	9	0	6	20	1	7	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	1	0	1	0	1	22	1	0	2	1	2	2	15	60	9	20	4	1	2	4	0	7	0	3	10	2	22	0	1	6	6	43	3	8	19	1	4	9	18	5	0	15	3	4	3	0	11	1	7	10	22	12	16	5	0	8	5	28	1	23	0	0	1	16	2	5	12	9	0	5	1	13	2	1	11	1	8	52	6	8	0	27	12	2	3	10	0	13	2	3	4	0	0	74	23	1	0
170	47035at6656	19	23	43	42	27	22	38	27	24	10	31	26	11	27	22	28	29	28	13	28	28	58	19	24	15	11	34	30	28	34	48	23	27	19	66	25	13	11	60	14	22	41	11	19	31	20	26	60	13	24	11	11	33	21	14	25	17	25	35	33	19	23	24	32	28	30	18	25	21	27	22	31	28	33	22	29	26	18	12	24	13	3	10	46	13	20	28	23	47	11	13	13	17	16	66	21	26	41	40	74	8	63	24	11	25	6	33	24	12	33	44	28	33	13	33	19	22	21	25	7	17	34	53	21	18	32	31	26	15	46	33	10	35	44	11	29	5	23	58	40	37	8	17	34	25	19	13	54	55	31	71	36	22	9	49	41	16	85	10	6	18	16	46	19	11	8	31	52	34	25
85	47902at6656	0	32	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	18	0	1	0	2	2	0	5	18	0	4	3	6	2	4	1	1	2	0	0	0	1	1	0	1	11	8	2	7	14	0	8	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	69	20	0	16	0	1	1	0	0	1	0	1	5	1	19	1	9	0	3	6	0	0	0	0	5	2	1	0	19	0	14	4	0	8	1	4	0	1	14	2	6	1	0	1	0	0	2	0	2	0	0	16	2	0	1	1	0	0	1	1	1	0	2	39	8	4	12	14	0	3	3	1	0	2	4	0	0	0	5	0	0	10	2	0	1
77	48070at6656	1	121	5	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	34	0	0	1	4	0	0	5	14	0	0	0	8	0	6	1	0	1	0	0	0	0	0	2	1	2	3	0	29	31	1	14	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	1	0	1	0	9	0	0	0	5	0	11	34	33	143	3	0	0	0	0	0	0	2	0	0	0	8	0	0	5	1	3	0	0	0	0	5	0	0	1	10	0	33	4	0	2	0	15	7	0	61	41	4	0	1	24	0	1	0	2	4	0	3	0	0	0	0	5	0	0	0	0	0	0	3	13	6	4	1	41	0	5	0	0	0	9	2	1	1	1	3	1	0	9	5	0	0
162	53444at6656	5	12	9	9	44	15	19	6	9	5	6	7	9	6	8	7	8	7	6	7	6	41	8	6	13	5	14	13	10	46	15	9	33	6	53	9	5	3	0	7	4	15	2	8	1	7	7	13	6	12	19	11	14	6	9	9	9	26	30	29	19	20	20	26	29	18	16	26	14	21	21	31	25	35	20	31	29	4	3	8	5	18	3	16	4	3	0	10	4	4	3	4	7	4	32	12	25	65	36	17	9	0	9	7	6	1	31	23	0	6	23	18	3	5	30	2	7	5	27	3	2	4	17	8	11	6	22	31	12	18	17	14	9	8	4	7	1	23	26	19	0	3	6	13	15	5	6	22	24	6	28	8	7	1	5	35	0	24	12	51	4	6	25	5	0	0	6	7	15	7
73	53491at6656	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	4	11	0	1	0	0	0	0	0	68	1	0	12	12	2	2	0	67	0	3	0	0	0	1	0	0	0	4	3	1	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	0	0	1	7	5	12	14	2	0	0	2	3	3	1	0	1	0	16	0	4	53	3	2	6	5	20	4	1	3	0	1	0	2	0	7	2	0	4	0	2	0	35	37	0	0	3	0	8	22	3	0	0	0	0	4	0	0	18	26	0	2	1	2	1	0	0	0	1	1	2	37	0	3	1	60	0	0	0	0	0	3	0	0	0	3	0	0	2
92	54009at6656	0	63	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	26	1	0	1	2	0	0	2	9	0	1	3	4	1	8	2	8	0	3	0	0	1	0	0	1	0	5	0	14	7	0	5	1	3	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	1	0	0	3	0	0	0	0	21	4	11	2	0	0	0	0	0	0	2	0	0	2	3	2	4	4	8	3	1	5	3	2	4	6	2	0	18	3	6	3	0	8	1	9	6	1	42	23	3	0	2	0	0	2	2	2	0	0	0	3	2	1	1	8	1	0	2	1	4	0	0	0	2	8	1	6	0	2	2	4	0	0	0	0	1	9	0	1	1	8	1	1	1
91	55968at6656	13	175	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	86	0	1	4	0	0	1	14	9	0	0	32	24	3	3	0	38	4	1	0	0	0	1	1	1	0	39	0	0	3	0	14	1	31	24	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	76	0	0	0	2	10	1	10	0	1	79	2	4	6	0	0	2	7	0	8	3	36	0	8	40	22	26	0	12	1	0	29	3	1	0	25	0	7	0	0	0	1	16	22	2	96	65	24	3	0	20	12	20	20	0	7	0	2	5	0	0	0	18	0	0	0	0	48	0	0	1	34	3	2	61	0	40	3	24	1	8	21	1	20	13	5	0	0	84	48	0	0
58	58159at6656	0	38	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	1	2	34	0	1	6	0	0	1	2	1	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	6	0	16	0	0	0	0	0	1	0	0	0	1	14	0	0	11	55	16	0	1	4	0	0	0	0	2	0	3	0	1	0	0	1	0	2	0	27	4	3	0	0	0	0	8	0	1	0	0	0	3	2	0	0	0	0	2	0	0	2	0	0	4	0	8	0	13	0	3	4	0	1	0	0	0	3	0	1	0	0	6	3	0	0
124	60256at6656	1	109	2	170	2	1	2	0	1	0	1	0	0	1	0	2	0	0	0	0	1	0	3	0	0	0	3	1	3	2	4	67	4	21	37	1	2	2	3	0	3	2	0	1	2	5	8	4	5	6	59	19	0	13	0	2	2	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	5	9	4	2	0	3	2	16	5	5	27	3	2	1	1	0	6	1	2	4	1	6	1	1	16	9	206	1	3	13	0	1	9	3	0	58	17	11	5	8	1	1	3	3	2	23	1	9	2	1	3	11	2	4	17	5	2	1	3	1	0	2	5	0	1	0	4	4	1	10	11	1	4	2	12	3	4	1	22	1	143	0	2	1	0	3	0	0	7	6	0	0
