species1	species2	AGE
AFUNF	ASINS	27.90365678
AFUNF	ASTEI	11.785521739
AFUNF	ASTES	11.785521739
AGAMP	AALBS	43
AGAMP	AARAD	1.97980751599999
AGAMP	AATRE	27.90365678
AGAMP	ACHRA	9.663417743
AGAMP	ACULA	15.683734722
AGAMP	ADARC	43
AGAMP	ADIRW	19.196826645
AGAMP	AEPIE	11.57917827
AGAMP	AFARF	19.196826645
AGAMP	AFUNF	15.683734722
AGAMP	AMACM	15.683734722
AGAMP	AMELC	1.97980751599999
AGAMP	AMERM	1.97980751599999
AGAMP	AMINM	15.683734722
AGAMP	AQUAS	1.97980751599999
AGAMP	ASINS	27.90365678
AGAMP	ASTEI	15.683734722
AGAMP	ASTES	15.683734722
AMACM	AALBS	43
AMACM	AARAD	15.683734722
AMACM	AATRE	27.90365678
AMACM	ACHRA	15.683734722
AMACM	ACULA	11.785521739
AMACM	ADARC	43
AMACM	ADIRW	19.196826645
AMACM	AEPIE	15.683734722
AMACM	AFARF	19.196826645
AMACM	AFUNF	11.785521739
AMACM	AGAMP	15.683734722
AMACM	AMELC	15.683734722
AMACM	AMERM	15.683734722
AMACM	AMINM	11.785521739
AMACM	AQUAS	15.683734722
AMACM	ASINS	27.90365678
AMACM	ASTEI	6.854246331
AMACM	ASTES	6.854246331
AMELC	AALBS	43
AMELC	AARAD	1.72922562879999
AMELC	AATRE	27.90365678
AMELC	ACHRA	9.663417743
AMELC	ACULA	15.683734722
AMELC	ADARC	43
AMELC	ADIRW	19.196826645
AMELC	AEPIE	11.57917827
AMELC	AFARF	19.196826645
AMELC	AFUNF	15.683734722
AMELC	AGAMP	1.97980751599999
AMELC	AMACM	15.683734722
AMELC	AMERM	1.60970751629999
AMELC	AMINM	15.683734722
AMELC	AQUAS	1.72922562879999
AMELC	ASINS	27.90365678
AMELC	ASTEI	15.683734722
AMELC	ASTES	15.683734722
AMERM	AALBS	43
AMERM	AARAD	1.72922562879999
AMERM	AATRE	27.90365678
AMERM	ACHRA	9.663417743
AMERM	ACULA	15.683734722
AMERM	ADARC	43
AMERM	ADIRW	19.196826645
AMERM	AEPIE	11.57917827
AMERM	AFARF	19.196826645
AMERM	AFUNF	15.683734722
AMERM	AGAMP	1.97980751599999
AMERM	AMACM	15.683734722
AMERM	AMELC	1.60970751629999
AMERM	AMINM	15.683734722
AMERM	AQUAS	1.72922562879999
AMERM	ASINS	27.90365678
AMERM	ASTEI	15.683734722
AMERM	ASTES	15.683734722
AMINM	AALBS	43
AMINM	AARAD	15.683734722
AMINM	AATRE	27.90365678
AMINM	ACHRA	15.683734722
AMINM	ACULA	5.80837383399999
AMINM	ADARC	43
AMINM	ADIRW	19.196826645
AMINM	AEPIE	15.683734722
AMINM	AFARF	19.196826645
AMINM	AFUNF	8.294786931
AMINM	AGAMP	15.683734722
AMINM	AMACM	11.785521739
